taxa;x;f;lwr.conf;upr.conf;pred;;;
alb;43;0.011;-0.013232901;0.199487749;0.093127424;ok;;
alb;56;0.288;0.173317252;0.386037903;0.279677578;ok;;
alb;57;0.333;0.193505422;0.406226072;0.299865747;ok;;
alb;70;0.429;0.304;0.482;0.411004433;ok;;
alb;71;0.345;0.283956621;0.496677272;0.390316946;ok;0.283956621;0.496677272
alb;85;0.294;0.076382458;0.289103108;0.182742783;ok;0.076382458;0.289103108
alb;86;0.147;0.067194954;0.279915604;0.173555279;ok;0.067194954;0.279915604
alb;98;0.136;-0.005991437;0.206729214;0.100368889;ok;-0.005991437;0.206729214
alb;100;0.068;-0.013579498;0.199141152;0.092780827;ok;-0.013579498;0.199141152
alb;112;0.062;-0.045093516;0.167627134;0.061266809;ok;-0.045093516;0.167627134
alb;113;0.017;-0.046976948;0.165743703;0.059383378;ok;-0.046976948;0.165743703
alb;126;0.011;-0.065691661;0.147028989;0.040668664;ok;-0.065691661;0.147028989
alb;127;0;-0.066799826;0.145920824;0.039560499;ok;-0.066799826;0.145920824
chi;43;0.029;-0.024861043;0.236833007;0.105985982;ok;;
chi;56;0.304;0.186855289;0.448549339;0.317702314;ok;;
chi;57;0.42;0.208895246;0.470589296;0.339742271;ok;;
chi;70;0.464;0.237950656;0.499644706;0.368797681;ok;0.237950656;0.499644706
chi;71;0.275;0.218871682;0.480565732;0.349718707;ok;0.218871682;0.480565732
chi;85;0.261;0.038427654;0.300121704;0.169274679;ok;0.038427654;0.300121704
chi;86;0.116;0.030743629;0.292437679;0.161590654;ok;0.030743629;0.292437679
chi;100;0.087;-0.037940567;0.223753483;0.092906458;ok;-0.037940567;0.223753483
chi;112;0.072;-0.066799681;0.194894369;0.064047344;ok;-0.066799681;0.194894369
chi;113;0.043;-0.068601789;0.193092261;0.062245236;ok;-0.068601789;0.193092261
chi;126;0.029;-0.087092665;0.174601385;0.04375436;ok;-0.087092665;0.174601385
chi;127;0;-0.088221465;0.173472585;0.04262556;ok;-0.088221465;0.173472585
mut;113;0.111;0.067650745;0.191023008;0.129336876;ok;;
mut;126;0.389;0.310033853;0.433406116;0.371719985;ok;;
mut;140;0.222;0.149;0.272;0.210697153;ok;;
mut;154;0;-0.046;0.076;0.015190203;ok;;
lit;0;0.026;-0.06581572;0.06581572;0;ok;;
lit;5;0.073;-0.033676605;0.097954835;0.032139115;ok;;
lit;14;0.107;0.060176161;0.1918076;0.125991881;ok;;
lit;18;0.2;0.117874457;0.249505897;0.183690177;ok;;
lit;28;0.32;0.296670113;0.428301553;0.362485833;ok;;
lit;31;0.453;0.35561526;0.4872467;0.42143098;ok;;
lit;42;0.42;0.306421283;0.438052722;0.372237002;ok;0.306421283;0.438052722
lit;43;0.3;0.289725633;0.421357073;0.355541353;ok;0.289725633;0.421357073
lit;56;0.227;0.119405134;0.251036574;0.185220854;ok;0.119405134;0.251036574
lit;57;0.133;0.109878149;0.241509589;0.175693869;ok;0.109878149;0.241509589
lit;70;0.127;0.022389378;0.154020818;0.088205098;ok;0.022389378;0.154020818
lit;71;0.06;0.017896985;0.149528425;0.083712705;ok;0.017896985;0.149528425
lit;86;0.033;-0.026499493;0.105131947;0.039316227;ok;-0.026499493;0.105131947
lit;98;0.027;-0.043448983;0.088182457;0.022366737;ok;-0.043448983;0.088182457
lit;100;0.02;-0.045392802;0.086238638;0.020422918;ok;-0.045392802;0.086238638
lit;112;0.013;-0.053804047;0.077827393;0.012011673;ok;-0.053804047;0.077827393
lit;113;0.007;-0.054312609;0.077318831;0.011503111;ok;-0.054312609;0.077318831
lit;126;0;-0.059195017;0.072436423;0.006620703;ok;-0.059195017;0.072436423
